Headline,Date,Description
"Man arrested with cocaine, MDMA meant for NY revelry","Dec 29, 2024","A person was arrested in Hyderabad for allegedly possessing 48 grams of MDMA and 25 grams of cocaine. Police say that the accused, Hari Satish of Vijayawada, is working for a Yemeni national wanted in three different cases in Hyderabad. The drugs were sent for sale only days away from New Year celebrations, and as a result, 11 consumers have been identified as accused. The consumption of drugs is an offense under Indian law, and as such, the accused are all considered to be guilty."
"Hyderabad: Interstate drug racket busted, businessman held","Jun 04, 2024",Special Operations Team (SOT) sleuths of LB Nagar along with Meerpet police busted an interstate drug syndicate and seized 1kg opium as well as other incriminating stuff worth Rs 30 lakh from a businessman in Meerpet on Friday.
Hyderabad Narcotics Enforcement Wing to open anti-drug abuse committees in all educational institutions,"Jun 26, 2024","On the eve of International Day against Drug Abuse and Illicit Trafficking on Sunday, the sleuths of Hyderabad Narcotics Enforcement Wing (H-NEW) have proposed to launch anti-drug abuse committees in all the educational institutions on the lines of anti-ragging committees, with an aim to"
Hyderabad: Mobile notifications give away drug trafficker's real identity,"Aug 16, 2024","Bank notifications on phone has helped the Hyderabad Narcotics Enforcement Wing (H-New) officials find the real identity of a Nigerian drug trafficker held recently. The Nigerian, who was caught with 30 grams of MDMA, had a passport with a fake name and expired visa. Officials said that his passport showed his name as Alamanjo Nmasi Chukwu and they didn’t suspect it to be a fake one as Goa police, which had arrested him in March on a similar charge, had mentioned the same name in their records."
"MDMA peddling racket busted, Rs 6 lakh worth drugs seized in Hyderabad","Dec 21, 2024",Rachakonda police arrested two persons including a Nigerian national involved in an international drug racket at RK Puram Bridge under Neredmet Police Station limits on Monday.
Fugitive drug peddler arrested,"Apr 07, 2024","Fugitive drug peddler Lakshmipathi, who supplied hash oil to Prem Upadhyay, was arrested by Hyderabad Narcotics Enforcement Wing (H-NEW) on Wednesday. Along with him, three more accused, which includes two consumers, were arrested."
Nigerian arrested in Hyderabad with 30gm MDMA,"Aug 13, 2024",A Nigerian drug trafficker was arrested in the city by sleuths of the Hyderabad Narcotic Enforcement Wing (H-NEW) along with Narayanguda police and 30 grams of MDMA seized from his possession. The accused has been visiting India since 2013 and cops found 108 clients from Hyderabad on his mobile phone.
Hyderabad: Sonali Phogat murder accused denied bail in drugs case,"Sep 24, 2024","A local criminal court in Nampally on Friday rejected the anticipatory bail petition of Goa-based drug kingpin, Edwin Nunes, who is wanted by Hyderabad police as he is a key accused in a case filed at Osmania University police station in August. The case relates to alleged violation of the NDPS Act."
"Hyderabad: Drug peddler arrested, 30gm of cocaine seized","Jun 24, 2024",Narayanguda police arrested a drug peddler from Ghana and seized 30 grams of Cocaine from his possession on Wednesday.
"Mumbai peddler who ran drug racket in Hyderabad invested gains in stocks, crypto","Nov 07, 2024","Mumbai-based alleged drug peddler Apurva Mataprasad Upadhyay, who was caught along with Nigerian national Mohammed Toiru Bakari in a drug bust, reportedly invests his share of ill-gotten money in stock trading and crypto currency, hoping to get higher returns. Hyderabad-Narcotics Enforcement Wing (H-NEW) had two weeks ago busted a module and seized 40 grams of cocaine from Apurva and others."
New diktat to curb drugs: Hyderabad pubs can’t play music!,"Jan 30, 2024","Pubs and clubs in Hyderabad will not play play music any more. And they will definitely not have live shows or DJ nights, thanks to a verbal diktat issued by the excise department at a hurriedly held meeting with industry representatives on Saturday."
Sushant Singh Rajput case: NCB arrests drug peddler Harish Khan linked to late actor,"Jun 02, 2024","Sushant Singh Rajput passed away on June 14, 2020. After his death, CBI, NCB and ED have been investigating the case. Recently, the Narcotics Control Bureau arrested Harish Khan, a drug peddler in Bandra in the drugs case linked to the late Bollywood actor."
MBA graduate arrested in Tamil Nadu for drug trafficking,"Aug 08, 2024","A 40-year-old MBA graduate was arrested in Tamil Nadu for his involvement in cases of drug trafficking, police said. He had jumped the parole and a reward of Rs one lakh was declared for information leading to his arrest."
Andhra Pradesh: Illegal drugs racket busted in Ongole,"Mar 09, 2024","An illegal drugs manufacturing unit was busted and two persons arrested in an industrial area in Ongole on Tuesday morning. The accused are Vijay and Venkat Reddy, who were involved in manufacturing the drugs."
Drug peddler from Mumbai arrested in Secunderabad,"Jan 02, 2024","Task force sleuths arrested an inter-state drug peddler, Ashish Kumar Umesh Trivedi (26), at SD Road in Secunderabad and seized 12 grams of mephedrone from his possession, on Friday."
"Goa drug peddler held, has 160 customers from Hyderabad","Aug 18, 2024","A resident of Goa, who came to the city to deliver narcotics, was arrested by sleuths of the Hyderabad-Narcotics Enforcement Wing (H-New) on Wednesday. He had partnered with a Kashmiri to peddle drugs, cops said."
Actor Chrisann Pereira held in Sharjah after duo plants drugs on her,"Apr 26, 2024","City crime branch which arrested two men, baker Paul Anthony (34) and banker Rajesh Bobhate alias Ravi (42), on Tuesday for allegedly planting drugs on an actor, said the duo similarly trapped four other victims-for revenge."
"Secunderabad: Man held for drug peddling, burglaries","Mar 05, 2024","Karkhana police arrested a drug peddler-cum-house burglar and recovered 12 gm gold along with ganja and hashish oil from his possession. Acting on specific information, police arrested Md Ahmed Pasha, 26, of Subhash Colony in IDA Jeedimetla in Secunderabad on Thursday and seized 1."
"4 drug peddlers from Mumbai, Hyderabad nabbed","May 07, 2024","The Task Force sleuths nabbed four persons, including two accused who were once involved in supplying Osmania biscuits and meat are now into the trade of drugs to make a quick buck."
Hyderabad: 250 drug users granted immunity from trial,"Feb 13, 2024","Around 250 drug consumers, including a Telugu film actor, were granted immunity from prosecution by the excise department after they produced a rehabilitation certificate in 53 drug cases booked in the last four years in Hyderabad."
Sushant Singh Rajput drugs case: Flatmate arrested in Hyderabad,"May 29, 2024","Siddharth Pithani, who was under the scanner in the drugs case linked to the suicide of actor Sushant Singh Rajput, his roommate at that time, was arrested in Hyderabad on Thursday by the Narcotics Control Bureau (NCB) and brought here. Pithani had been on the run for eight months."
"Three peddlers held in Hyderabad, drugs seized","Jun 22, 2024",Excise sleuths arrested three peddlers on Sunday and seized a variety of drugs including cocaine and MDMA from their possession.
"Hyderabad cops arrest Edwin of Curlie’s, take him to their city","Nov 05, 2024",
"Peddler dabbled in biz, jobs before pushing drugs, held","Aug 05, 2024",
University of Hyderabad student held in drug ring bust,"Feb 27, 2024","In a major drug bust involving three gangs, a student of University of Hyderabad (UoH) was among 12 peddlers arrested by the newly-formed Hyderabad Narcotics Enforcement Wing (H-NEW). The accused student was procuring drugs by placing orders on dark web. Sixteen drug consumers, including 11 software employees and a doctor, have also been arrested."
Drug bust at Hyderabad pub: Guests under lens,"Apr 09, 2024",Police plan to question some guests who were present during the cocaine bust at The Pudding and Mink pub in Radisson Blu Plaza Hotel who allegedly have a history of narcotics consumption.
"Stop epidemic, set up emergency helpline to rescue marooned, HC to Telangana govt","Aug 02, 2024","A day after the state government, in a report, put the death toll at 41 in recent rains, the Telangana high court on Tuesday asked the government how many people have been swept away in the last week’s floods and directed it to set up a toll-free number or an emergency call service facility to rescue the stranded people."
NCB busts drug racket run by pharma co in Kerala GIDC,"Aug 02, 2024","Nearly a month after the Narcotics Control Bureau (NCB) raided premises of a pharmaceutical manufacturing unit and unearthed unaccounted stocks of an opioid drug in the Kerala GIDC of Ahmedabad, a viral message flagging the multi-crore scam set the tongues wagging in the power circles of the state."
GFP president Vijai Sardesai: Are cops in collusion with Goa’s drug mafia?,"Sep 03, 2024","A day after Hyderabad police commissioner C V Anand complained about the lack of cooperation by Goa police in the fight against drug trafficking, GFP president Vijai Sardesai questioned if Goa police was colluding with drug traffickers."
Telangana: Drug peddler arrested with 200 kg ganja,"Jul 10, 2024","Nalgonda police arrested an interstate peddler and seized 200 kilo ganja worth Rs 12 lakh from his possession on Saturday. Acting on a tip off, Kethepally police of Nalgonda district organised vehicle checks at various spots on the highway."
"Hyderabad: MNC employees involved in drug bust, sacked, say police","Apr 08, 2024","About 8 to 10 employees from multinational companies have been sacked after their names surfaced in the two consecutive drug busts carried out by the HyderabadNarcotics Enforcement Wing (HNEW) over the last week, police sources told TOI."
"Arrested peddlers violate bail norms, resume activity in city","Sep 19, 2024",
"Hyderabad: Seven drug peddlers held, cocaine & MDMA seized","Jan 07, 2024","Task Force sleuths arrested seven members belonging to three drug peddling gangs and seized 16 lakh worth narcotic substances from their possession, including 98 grams of cocaine."
Drug bust uncovers criminal saga of Telugu film financier,"Sep 02, 2024","Police are looking into the criminal record of Telugu film financier K Venkatratna Reddy, who is an accused in the drug bust case of Telangana State Anti Narcotics Bureau (TSNAB)."
Hyderabad: Two drug peddlers arrested from Nampally hotel,"Feb 18, 2024",Task Force along with Nampally cops raided hotel Royal Residency at Nampally and arrested inter-state drug peddlers.
"Illegal drug-making unit in Bidar raided, 5 arrested","Jun 27, 2024","Sleuths from Narcotics Control Bureau, Bengaluru wing, on Friday raided an illegal drug- manufacturing unit in Bidar and seized 91.5kg of Alprazolam powder worth Rs 2 crore. Alprazolam is an anti-depressant, which is used illegally as a recreational drug. Five people, including the owner of the unit, have been arrested."
"Fake air tickets were Plan B in bid to frame actor Chrisann Pereira, others","Apr 28, 2024","Anthony Paul, the baker who tried to falsely implicate at least five people, including actor Chrisann Pereira, in drugs cases in Sharjah, was so determined to incriminate them that he even went as far as to forge air tickets to frame them in police matters abroad."
Unemployed techie from Hyderabad dies of overdose after drug binge,"Apr 01, 2024","In a stark testimony of consequences of drug addiction, a young qualified engineer from city overdosed on a cocktail of drugs and died a couple of days ago after nearly two weeks in a government hospital."
Hyderabad: 8 held for helping Tony peddle drugs,"Feb 03, 2024","City police picked up eight persons from Hyderabad and Mumbai for working with Nigerian Peddler Chukwu Ogbonna David alias Tony in drug peddling activity.Tony’s couriers — Md Asif Arif Shaik, Aftab Parwaz and Irfan — were among the people cops took into custody for questioning."
"Hyderabad gym owner, aide held for selling steroids, injections","Aug 31, 2024","Cyberabad police arrested two persons for selling steroids, injections and tablets for stamina boosting and muscle building. Police seized 10 lakh worth materials from the accused."
AIU nabs South African woman with 6kg heroin at Hyderabad airport,"May 07, 2024",The Air Intelligence Unit (AIU) sleuths of the Customs department arrested a South African national at the RGI Airport for 6.75 kilograms of heroin worth Rs54 crore.
Hyderabad: Two drug peddlers arrested with 50kg ganja worth Rs 6 lakh,"May 01, 2024",Task force sleuths arrested two drug peddlers and seized 50 kilos of ganja worth Rs 6 lakh from their possession.
Two drug peddlers held,"Mar 28, 2024",
I am still free: Dark web drug dealer after Hyderabad police crackdown,"Sep 03, 2024","The Hyderabad police on Thursday announced that they had smoked out three different drug cartels operating out of the nooks and crannies of the dark web and nabbed eight drug peddlers. Instead of shutting shop and disappearing for a while, at least one of their associates announced on the dark web on Friday that he was free. He also asked his customers to be cautious and keep a low profile for a while."
Sushant Singh Rajput drugs case: Siddharth Pithani arrested by the Narcotics Control Bureau,"May 28, 2024","The Narcotics Control Bureau has arrested Sushant Singh Rajput’s flatmate Siddharth Pithani in a drugs probe that emerged post the late actor’s death. According to reports, Pithani has been arrested from Hyderabad by the investigating agency. In the past, Siddharth Pithani has been questioned by the NCB on several occasion. This development has come in weeks before Sushant Singh Rajput’s first death anniversary, June 14."
Won't spare anyone involved in drug scene: Hyderabad police commissioner,"Mar 09, 2024","Responding to queries from TOI readers, Hyderabad police commissioner, C V Anand, says that his team is going all guns blazing to crackdown on the loan app scam, drug peddling and underage driving in the city."
"To fight drugs, Hyderabad pubs told to stop music","Jan 30, 2024",
Two more held in Rs 267 crore mephedrone drug seizure case at Nashik,"Oct 15, 2024",
Pune: Money trail in 2 web task frauds goes from bank accounts to e-wallets to crypto exchanges,"Jul 28, 2024",The city cyber police investigating two of the 20 online task fraud cases registered by them since March have established that money generated from these frauds was moved from the receiving bank accounts to e-wallets attached to cryptocurrency exchanges.
Drug bust: Peddler Tony sold to select Hyderabad clients,"Jan 22, 2024","Nigerian peddler Chukwu Ogbonna David alias Tony, who was arrested for the first time on Wednesday by city cops from Pune since coming to India in 2013, never met any of his rich clients directly, operating only through his trusted lieutenants."
NCB seizes ₹50cr drugs in raids at 2 illegal factories near Pune,"Oct 14, 2024","The Narcotics Control Bureau (NCB) raided two illegal drug manufacturing factories near Pune and seized around 200kg of Alprazolam, worth Rs 50 crore. The state-of-the-art factories were located in a remote area in the middle of a dense forest. One person was arrested at the first factory, leading officials to discover a second factory nearby. The labs were equipped with the latest equipment and were deliberately built in difficult-to-access areas. The NCB is currently searching for the main beneficiary/investor of the operation."
Law also applies to rich kids found at pub drug bust: Asaduddin Owaisi,"Apr 07, 2024",All India Majlis-e-Ittehadul Muslimeen (AIMIM) president and Hyderabad MP Asaduddin Owaisi on Wednesday waded into Banjara Hills pub drug bust case with a tweet that cocaine was found in the ‘rave party’ but all the rich kids were released.“Rule of law is supreme...
Ashu Reddy denies involvement in KP Chowdary's drugs peddling case: Read her statement,"Jun 24, 2024",Cyberabad Police recently arrested producer and distributor KP Chowdary for peddling drugs. They have not released any further names and actress Ashu Reddy denies involvement after rumours do rounds.
Hyderabad: Facebook employee turned drug peddler arrested,"Nov 20, 2024",
4 inter-state drug peddlers arrested,"Feb 27, 2024","The Special Operations Team (SOT) sleuths of Rachakonda arrested four inter-state drug peddlers and seized 80 kg of ganja and two cars, all worth ₹32 lakh from their possession."
"Hyderabad-bound man arrested in Vijayawada, 95 lakh cash seized","Aug 17, 2024",City police nabbed a person while he was suspiciously roaming near gymkhana ground and seized 94.96 lakh in cash from his possession.
2 foreigners arrested with 110gm meth,"Jun 30, 2024","The city police arrested two drug peddlers, from Yemen and Tanzania, on Wednesday and seized 110 grams of Methamphetamine from their possession. The third and prime accused in this case is still at large."
Biggest single seizure of MDMA in Hyderabad; 2 arrested,"Mar 26, 2024","In probably the highest seizure of the drug ecstasy (MDMA) in a single case in the city, prohibition and excise sleuths caught two peddlers with 210 ecstasy pills and 25 blots of LSD on Thursday night.The value of the seized contraband is about ₹15 lakh, officials said."
"Top Hyderabad businessman, rich kids arrested for cocaine abuse","Jan 21, 2024","Sending a stern warning to drug consumers in the city, police have arrested nine persons, including seven cocaine consumers and a Mumbai-based Nigerian peddler."
One held with raw drugs worth ₹1cr,"Jun 16, 2024",
"Drug bust: US ‘bud’ in mattress, 2 held","Feb 22, 2024","Though neighbouring Andhra Pradesh is known as the main source for ganja suppliers in the country, a small section of people are procuring superior quality cannabis from the US. Narcotics Control Bureau (NCB) sleuths have recently caught two city-based businessmen in possession of 1."
SUVs stolen from Hyderabad used by Rajasthan drug smugglers on Pakistan border,"May 01, 2024",At least five SUVs stolen from Hyderabad last year landed up in the hands of deadly drug smugglers operating along the Pakistan border in Rajasthan.
"Two welders peddling drugs held in Hyderabad, opium worth Rs 1 crore seized","Feb 08, 2024",The Special Operations Team (SOT) of Rachakonda arrested two inter-state drug peddlers and seized 1.5 kilo opium from their possession.
Hyderabad police didn’t ask for help in probe or arrest: DGP Jaspal Singh,"Sep 03, 2024","Goa police on Friday refuted allegations by Hyderabad police commissioner C V Anand, who had said that he did not receive cooperation in arresting the alleged owner of Curlies, Edwin Nunes, in a narcotics case. Goa DGP Jaspal Singh said that no such request was received for any assistance in the arrest of Nunes."
"Telangana: 800kg ganja seized, 2 arrested in Hyderabad","May 08, 2024","Two interstate drug peddlers were nabbed here on Sunday and 800kg of ganja was seized from them, police said."
Hyderabad: Two foreigners arrested with narcotics,"Dec 15, 2024","Two foreign nationals — a Palestinian and an Omani — were arrested as they were in possession of eights grams of cocaine, nine grams of MDMA and four ecstasy pills at Banjara Hills on Saturday."
"Hyderabad cops seize 900gm of poppy straw concentrate, arrest 2","Apr 02, 2024","The Special Operations Team (SOT) sleuths of Rachakonda police arrested two interstate peddlers trafficking poppy straw concentrate from Punjab to Hyderabad and seized 900 gm of contraband, 1.4 lakh cash, a car and three cell phones, all worth 15 lakh."
"Bangles, husk used as cover as cops bust ganja racket","Jun 13, 2024","In a major drug bust, an inter-state gang smuggling ganja was apprehended by Cyberabad police and 910 kg of the contraband worth crores of rupees was recovered from various parts of the city in three instances. Eight gang members were arrested."
Telangana accused arrested by NCB Hyderabad in major Alprazolam drug racket reveals links with Karnataka case,"Jul 17, 2024","In continuation of a last month's crackdown on an Alprazolam drug manufacturing and trafficking network spanning the states of Andhra Pradesh and Karnataka, the Narcotics Control Bureau (NCB), Hyderabad arrested one person involved in manufacturing of spurious liquor out of the contraband and seized over Rs 4 lakh cash from his possession."
Man arrested for illegal sale of Oxygen cylinders in Hyderabad,"Jul 15, 2024",Taskforce sleuths arrested a 62-year-old businessman from Musheerabad for selling oxygen cylinders at higher price to encash the demand due to pandemic.
To India via Africa: Drug cartels chart new route,"Jun 08, 2024","In the past one month, 10 peddlers from African nations were caught in Hyderabad, Chennai, Delhi, Mumbai and Bengaluru airports trying to smuggle in 53 kilos of heroin worth over Rs 300 crore."
"Drug bust in Hyderabad pub raid; kin of stars, politicos, cops present","Apr 04, 2024","In a pre-dawn drug bust in the upmarket Banjara Hills on Sunday, the Task Force police raided Pudding & Mink pub located inside Radisson Blu Hotel and seized five grams of cocaine. The manager and one of the pub owners have been arrested."
Hyderabad: Nigerian held for peddling cocaine,"Oct 04, 2024","A Nigerian student was arrested for peddling drugs near GVK Mall on Road No. 1 in Banjara Hills late on Saturday night. He had four grams of cocaine in possession and was selling it at Rs 8,000-10,000 per gram, cops said."
"Nigerian gang running cocaine racket in city busted, 2 arrested","Jun 30, 2024",A gang suspected to have pumped in about 1.5 kg of cocaine (street value roughly ₹1.5 crore) in Hyderabad in the last year was busted by the Hyderabad Narcotic Enforcement Wing (H-NEW) on Wednesday.
"Drug racket busted, 2 held","Feb 17, 2024",
"Drug raid in Goa's Guirim, Kerala artist nabbed","May 01, 2024","In two separate raids, Goa police have arrested two persons, including an artist, for possessing narcotic substances and have seized contraband worth Rs 22 lakh. Deputy superintendent of police Nerlon Albuquerque said a 27-year-old Kerala resident, Serin Sageer, was caught at Guirim on Sunday. The haul recovered from him is suspected to be LSD cubes (21.20 grams) and ganja (50 grams) worth Rs 21 lakh."
"Raj home guard MDMA conduit to city, arrested","Sep 05, 2024",
Drug bust in Hyderabad: Renuka Chowdhury’s kin named 4th accused,"Apr 05, 2024","A day after city police raided a star hotel in upscale Banjara Hills and named three accused in the drug bust, it added a fourth name to the list on Monday — Kiran Raju, son-in-law of former Union minister Renuka Chowdhury."
Hyderabad: 3 inter-state smugglers arrested with 256kg ganja,"Jan 25, 2024",Three inter-state drug smugglers were arrested and 265kg ganja seized from a truck parked near Hi-Tec City railway station on Monday. The accused were taking the contraband from Odisha to Uttar Pradesh via Hyderabad.
Pub drug bust: Hyderabad cops zero in on a few with links to peddler Tony,"Apr 19, 2024",The probe into the Pudding and Mink pub drug bust in Banjara Hills on April 3 has led cops to a few among the 128 detained during the raids with links to earlier arrested high-profile Mumbai-based drug peddler Chukwu Ogbonna David alias Tony.
Bolly Buzz! Siddhanth Kapoor arrested on alleged drug consumption charges; Salman Khan continues to shoot for 'Bhaijaan' despite death threats,"Jun 13, 2024","Siddhanth Kapoor comes under the scanner for his alleged involvement in a rave party drugs bust. From getting dad Shakti Kapoor’s reaction to the news to Luv Sinha stepping up to defend his friends, here are the big headlines of the day."
Peddler arrested from Hyderabad airport ingests 108 heroin capsules,"May 05, 2024","Customs officials have arrested a drug peddler from Tanzania at Rajiv Gandhi International (RGI) Airport and seized 1,389 grams of heroin worth 11.5 crore. The peddler has ingested capsules containing the contraband and customs sleuths had to get them purged under medical supervision."
"NCB Mumbai seizes drugs worth Rs 135 crore, nine persons including three foreigners held","Oct 13, 2024",
"One critical as car rams bike, angry mob roughs up driver","Aug 05, 2024",
Was at party over land issue: Hyderabad businessman,"Apr 04, 2024","City-based businessman Sandeep Reddy, whose name cropped up in the Bengaluru police’s investigation in a drug party case told STOI that he had attended a party there two years ago"
Drug racket busted in Hyderabad; techie among 3 arrested,"Jun 21, 2024","A drug racket has been busted with the arrest of three people, including a software professional, excise officials said in Hyderabad on Sunday."
Hyderabad: Two foreigners held for possession of drugs,"Dec 14, 2024","A Palestine and Oman nationals were arrested by Enforcement wing of Telangana Prohibition and Excise sleuths on Saturday as they were in possession of 8 grams of cocaine, 9 grams of MDMA and four ecstasy tablets respectively."
Five from Telangana held for illegal drug unit in Bidar,"Jun 27, 2024",A Narcotics Control Bureau (NCB) team has raided an illegal drug manufacturing unit in Bidar in Karnataka and seized 91.5kg of alprazolam worth Rs 2 crore.
Decoy cops arrest peddler with heroin,"Jun 24, 2024",
Three held with LSD in Hyderabad,"Dec 23, 2024","Three persons who were allegedly in possession of 15 blots of LSD, were arrested by Rachakonda police on Thursday. B Sumith Kumar Singh, K Daniel, a MBA student, and G Aaron Joseph, a degree student, were arrested."
"Black fungus drug racket in Hyderabad: 3 held, ESI doctor absconding","Jun 04, 2024","Special Operations Team (SOT) of Madhapur has arrested three persons indulging in illegal sale of Amphotericin B injections used for treatment of mucormycosis (black fungus). The main accused is a doctor working at ESI Hospital, Sanathnagar. He is on the run, police said."
"Edwin Nunes a bulk drug supplier, Goa didn’t help nab him: Hyderabad top cop","Sep 01, 2024","Hyderabad police commissioner C V Anand said on Thursday that Curlies' alleged owner Edwin Nunes is one of the six bulk drug suppliers in the country, but that the Hyderabad police have received no help from Goa police in arresting him."
"Two doctors held for selling mucor drug at Rs 50,000 in Hyderabad","Jun 08, 2024","Four persons, including two doctors, were arrested by the Task Force sleuths on Monday for trying to sell amphotericin injections, used for treating mucormycosis patients, in black market at an exorbitant price."
"Telangana: 3 persons nabbed, mephedrone worth Rs 2 crore seized","Oct 24, 2024",Enforcement officials of prohibition and excise department arrested three persons in Medchal and Nagarkurnool districts and seized four kg of mephedrone worth Rs 2 crore on Saturday.
International flyer held at Hyderabad airport with 5kg cocaine worth Rs 50 crore,"Sep 03, 2024",Directorate of Revenue Intelligence (DRI) sleuths arrested an international air passenger on Friday night at RGI Airport as he was allegedly attempting to smuggle 5kg of cocaine worth 50 crore.
Cops-drugs ‘nexus’ back in focus as Brit says he paid protection money,"Oct 03, 2024","Nearly a decade after an alleged nexus among police, politicians and the drug ‘mafia’ rocked the state, a British peddler arrested for possession of narcotics alleged that he had paid “protection money” to police."
COVID drug Remdesivir has potential to cause serious adverse effects to heart: Study,"Mar 23, 2024","Remdesivir, the COVID drug, can cause severe adverse effects to the heart, a research study by researchers from the Osmania Medical College, Hyderabad has found."
"Drug gangs sell in Hyderabad, return to other metros to escape cops","Sep 15, 2024","A crackdown against drug traffickers in city has led to a change of tactics by gangs. At least seven gangs operating here are selling the stuff in city while being based in other metros such as Bengaluru, Mumbai and New Delhi."
"Man sells fake drugs, arrested","Jun 24, 2024",
Niharika Konidela's memes flood social media after Hyderabad police detain her in drug case,"Apr 03, 2024","It is a known fact that the Hyderabad police arrested actor-producer-mentor Naga Babu’s daughter Niharika Konidela along with several others in a raid at a rave party in a luxurious pub in Hyderabad. As per the latest reports, it is being stated that Niharika has been taken in for questioning by the cops after a surprise raid in the pub. Cops suspect she consumed drugs during the late-night party. She was also questioned for a few hours today in the same case. She was then allowed to leave."
Telangana: Hotels near RGIA den for drug traffickers?,"Jun 14, 2024",Hotels in and around Rajiv Gandhi International Airport in Shamshabad have come under the Directorate of Revenue Intelligence and Cyberabad police radar as mules involved in drug trafficking and gold smuggling are using these hotels as transit hubs.
Ghana national held in Hyderabad for 'possessing' cocaine,"Nov 24, 2024","A 32-year-old Ghana national was arrested here on Tuesday by the Excise Enforcement on charges of peddling cocaine and over 60 grams of the narcotic seized from his possession, officials said."
"Yemen national held in Hyderabad, cocaine & MDMA seized","Jul 02, 2024","A 31-year-old Yemen national along with a city resident were arrested by prohibition and excise officials in Banjara Hills on Thursday and 17 grams of cocaine, eight grams of MDMA and 73 ecstasy pills were recovered."
"Job lost in lockdown, Hyderabad teacher sells drugs","Mar 15, 2024","Shivshankar Isampalli, 27, a dance teacher-turned-drug peddler from Hyderabad, was arrested near Panjari on Wardha road shortly after Saturday midnight for allegedly possessing more than 91kg marijuana, worth around Rs 14 lakh, in his car. He was heading to Delhi to deliver the narcotic consignment when intercepted."
Mumbai Police busts major MDMA (ecstasy) manufacturing unit in Nashik; seizes drugs worth rs 267 crore,"Oct 06, 2024",The raid was carried out after police arrested one Jeeshan Shaikh (34) from his Nashik Road flat near Shinde Gaon who tipped off about the drugs manufacturing unit that is owned by a person who is brother to drug mafia Lalit Patil.
Taxi driver held in drug overdose case in Goa,"Oct 03, 2024","Calangute police arrested Vasco resident Prathamesh Palyekar, 28, on Sunday in connection with the alleged drug overdose case wherein a Hyderabad techie was admitted at GMC for treatment last week.PI Dattaguru Sawant said that the tourist had hired a white taxi driven by Palyekar on his arrival at Dabol"
Heroin stash in Burundi woman’s buttons seized,"Jul 04, 2024",Heroin worth Rs 14 lakh was seized from a Burundian woman by customs sleuths at the Rajiv Gandhi International Airport (RGIA) in Shamshabad on Sunday. The woman had arrived in city from Nairobi via Sharjah. The drug was found hidden in her clothes and soap.
Guntur police arrest Saudi national for ‘manufacturing drugs’,"Nov 24, 2024",Guntur police have claimed to have busted a drug racket and arrested a Saudi national on the charge of preparing narcotics at his flat in an apartment complex at Nallapadu area of the city.
Actress’ husband held with cocaine in Hyderabad,"Jan 03, 2024","The Hyderabad Narcotic Enforcement Wing (H-NEW) arrested two people, an event manager who is married to Tollywood actress Neha Deshpande, and a businessman, for allegedly possessing cocaine. Both are key customers of Goa-based drug supplier, Edwin Nunnes. The duo has been booked in a November 2022 case registered by the Ramgopalpet police. Edwin is also an accused in the case."
Five Telangana MLAs attended drug parties in Bengaluru: Police,"Apr 04, 2024",Bengaluru police have claimed that at least five legislators from Telangana allegedly attended ‘dance-and-trance’ parties in Bengaluru and Hyderabad. Investigators say those associated with a drug cartel organised the parties and seven members of the gang have already been arrested. Police is yet to reveal the MLAs’ names or confirm if they had actually consumed drugs.
3 Nigerians held with drugs worth Rs 1 crore in decoy op in Bengaluru,"Jul 08, 2024","Three Nigerian drug peddlers and a Hyderabad resident were arrested in a decoy operation in Bangalore and cocaine, MDMA worth 1 crore were seized from them. The operation followed arrest of two persons - Thrissur resident M Sanjay Sunil Kumar and Manikonda resident T Bhanu Teja Reddy - who disclosed they bought drugs from Nigerian nationals in Bangalore, said CV Anand, director of Telangana State Anti-Narcotics Bureau (TS-NAB)."
Fake drug rackets spread across six states,"Mar 05, 2024","A spurious drugs racket, first detected in Bargarh and Jharsuguda districts of Odisha in January, is spread across Uttar Pradesh, Haryana, Himachal Pradesh, Bihar, West Bengal and Telangana, investigators have found. Following the arrest of a Bulandshahr native by UP police on Thursday, it has come to light that the fake medicines were being manufactured mainly in Baddi area of Solan district in Himachal Pradesh and were supplied to other parts of the country."
Three Hyderabad call centres con US nationals of $20k in 24 hrs daily,"Aug 12, 2024","Three Madhapur-based fake call centres with global linkages were busted on Friday by Cyberabad police, which disclosed that at least 15 US citizens were being conned of $20,000 every 24 hours. The scamsters operated in the guise of US Customs and Border Protection Agency representatives and Amazon customer-care executives to con foreigners and mop up millions."
DRI seizes 101kg gold smuggled from Nepal to Mumbai,"Feb 22, 2024","The Directorate of Revenue Intelligence (DRI) has seized 101kg gold worth Rs 51 crore, foreign currency of Rs 74 lakh value and Rs 63 lakh in Indian currency in Operation 'Golden Dawn' spanning Mumbai, Pune and Patna and arrested 10 persons, including seven Sudanese nationals."
Tanish Alladi appears before the ED in Hyderabad: Tollywood drugs & money laundering case,"Sep 17, 2024",
20-yr-old student held with MDMA,"Jun 25, 2024",
"Vizag gets high on psychedelic drugs, around 80% users & peddlers are students","Dec 08, 2024","The Port City is seeing a big jump in the consumption of ecstasy, LSD and cocaine, and increasingly the users and peddlers caught during the raids are turning out to be college students, says officials of Visakhapatnam."
Interstate peddler nabbed with 50gm MDMA worth ₹4L,"Jun 24, 2024",
